id,date,home,team_1,team_1_score,team_2,team_2_score,won
400277722,2013-10-30,False,Boston Celtics,107,Miami,120,False
400277737,2013-11-02,True,Boston Celtics,99,Milwaukee,88,False
400277747,2013-11-03,False,Boston Celtics,86,Washington,89,True
400277774,2013-11-07,True,Boston Celtics,100,Washington,94,True
400277790,2013-11-09,True,Boston Celtics,106,Philadelphia,100,False
400277806,2013-11-10,False,Boston Celtics,92,Milwaukee,96,True
400277818,2013-11-12,False,Boston Celtics,95,Chicago,101,True
400277830,2013-11-14,True,Boston Celtics,98,Utah,93,True
400277839,2013-11-15,False,Boston Celtics,97,Brooklyn,102,False
400277851,2013-11-17,True,Boston Celtics,107,Toronto,89,True
400277864,2013-11-18,False,Boston Celtics,83,Detroit,103,False
400277881,2013-11-21,True,Boston Celtics,112,San Antonio,100,False
400277893,2013-11-23,True,Boston Celtics,108,Oklahoma City,100,True
400277915,2013-11-25,False,Boston Celtics,110,Orlando,116,True
400277931,2013-11-28,True,Boston Celtics,95,Brooklyn,83,False
400277945,2013-11-30,True,Boston Celtics,96,Portland,78,True
400277958,2013-12-01,False,Boston Celtics,88,Milwaukee,91,False
400277979,2013-12-05,True,Boston Celtics,104,Minnesota,94,True
400277990,2013-12-07,False,Boston Celtics,94,Philadelphia,95,False
400278005,2013-12-08,True,Boston Celtics,92,Philadelphia,79,True
400278035,2013-12-12,True,Boston Celtics,117,Dallas,115,True
400278052,2013-12-14,False,Boston Celtics,89,Houston,101,False
400278064,2013-12-15,False,Boston Celtics,88,San Antonio,103,False
400278080,2013-12-18,False,Boston Celtics,89,Chicago,100,False
400278090,2013-12-19,True,Boston Celtics,103,Cleveland,91,True
400278102,2013-12-21,True,Boston Celtics,99,Milwaukee,94,False
400278125,2013-12-25,False,Boston Celtics,76,Brooklyn,93,True
400278144,2013-12-27,False,Boston Celtics,77,Los Angeles,106,False
400278167,2013-12-29,False,Boston Celtics,83,Golden State,101,False
400278170,2013-12-30,False,Boston Celtics,96,Sacramento,118,False
400278188,2013-01-02,True,Boston Celtics,93,Memphis,83,False
400278203,2013-01-04,True,Boston Celtics,94,Indiana,75,True
400278209,2013-01-05,False,Boston Celtics,81,Atlanta,89,True
400278225,2013-01-07,False,Boston Celtics,96,NY Knicks,102,True
400278239,2013-01-09,True,Boston Celtics,87,Phoenix,79,True
400278251,2013-01-11,True,Boston Celtics,103,Houston,91,True
400278277,2013-01-14,True,Boston Celtics,100,Charlotte,89,True
400278293,2013-01-16,True,Boston Celtics,90,New Orleans,78,False
400278304,2013-01-18,True,Boston Celtics,100,Chicago,99,False
